,Day,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22
0,01,"14,91","390,99","90,42","123,46","635,63","454,78","343,16","216,85","194,74","317,50"
1,02,"124,58","384,86","117,11","196,27","516,69","471,64","265,62","193,49","218,95","302,92"
2,03,"146,05","307,83","121,39","287,71","416,62","508,48","215,88","198,71","218,21","292,65"
3,04,"97,74","307,19","186,16","296,60","322,73","482,37","369,46","174,01","234,59","551,43"
4,05,"126,68","373,20","141,10","221,83","435,82","411,33","371,60","153,65","234,28","308,30"
5,06,"121,48","418,44","107,69","255,95","523,99","282,40","388,69","153,33","225,36","274,35"
6,07,"85,46","429,58","124,89","271,94","468,96","215,59","381,79","188,10","201,43","219,54"
7,08,"68,20","417,36","113,98","215,21","453,38","359,18","410,95","191,83","175,00","248,11"
8,09,"126,41","448,18","138,90","168,46","347,52","347,71","332,92","185,19","219,25","241,63"
9,10,"128,08","370,20","157,32","208,07","404,32","336,05","224,43","194,05","207,13","217,91"
10,11,"87,90","333,04","138,47","269,77","390,94","376,23","384,10","182,38","191,42","229,05"
11,12,"81,17","465,49","153,22","287,46","416,88","444,91","432,43","148,63","196,25","239,96"
12,13,"78,81","463,46","148,26","259,90","444,21","396,94","446,96","203,38","203,91","238,08"
13,14,"55,93","451,45","195,20","260,47","461,38","365,85","386,72","211,44","183,59","227,92"
14,15,"34,88","404,20","184,31","159,17","436,56","424,64","397,49","233,26","147,72","199,74"
15,16,"134,70","410,65","175,17","125,32","399,00","500,82","320,30","272,85","218,90","152,01"
16,17,"178,67","281,63","159,19","174,30","225,86","552,85","239,88","303,54","229,81","112,23"
17,18,"157,11","230,52","239,34","191,12","199,95","553,62","486,00","280,15","213,33","123,55"
18,19,"184,69","200,28","211,79","159,01","315,65","509,84","521,30","165,43","213,88","217,80"
19,20,"186,75","200,96","211,08","142,56","377,66","463,23","589,22","303,95","207,39","206,02"
20,21,"155,73","217,47","244,99","158,13","381,03","398,20","555,36","354,03","177,81","202,56"
21,22,"167,59","194,70","209,91","129,81","408,96","571,34","494,03","383,14","166,19","200,52"
22,23,"204,93","171,26","186,85","87,37","399,15","611,85","348,32","352,56","191,04","172,36"
23,24,"204,50","113,11","237,15","87,51","353,21","645,54","334,13","302,60","183,18","149,01"
24,25,"186,30","107,97","261,02","110,06","272,84","630,62","373,05","258,43","191,13","222,83"
25,26,"171,32","74,76","240,18","110,87","277,29","706,32","532,25","249,07","166,02","243,57"
26,27,"171,10","122,79","172,89","121,67","350,21","626,79","529,62","334,25","162,85","222,02"
27,28,"146,71","51,54","318,85","108,53","392,86","488,78","534,68","366,40","151,16","230,20"
28,29,-,"31,53","373,24","98,56","464,85","733,64","499,49","335,24","158,82","228,17"
29,30,-,"18,48","396,44","116,62","346,97","743,84","397,53","362,06","225,99","200,93"
30,31,-,"4,38",-,"144,24",-,"651,77","319,51",-,"211,04",-
