,Day,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22
0,01,"105,63","399,44","101,31","115,19","468,00","356,04","253,32"
1,02,"184,86","376,87","80,85","193,63","368,70","276,56","187,84"
2,03,"160,58","304,23","112,02","243,12","300,07","293,31","200,73"
3,04,"121,00","304,71","185,97","188,84","274,37","313,54","197,79"
4,05,"145,05","341,62","130,87","134,88","326,48","332,03","255,44"
5,06,"122,14","367,66","117,93","88,23","375,31","302,67","264,18"
6,07,"118,64","358,56","105,35","122,84","331,04","272,57","225,12"
7,08,"88,78","422,30","94,11","174,38","310,17","331,19","268,21"
8,09,"137,08","438,01","127,38","136,38","325,46","340,08","233,82"
9,10,"139,21","364,42","96,95","163,19","361,53","323,49","222,47"
10,11,"111,69","377,75","82,72","213,13","373,76","341,04","320,15"
11,12,"112,09","664,34","124,40","191,39","380,01","398,26","275,66"
12,13,"112,71","450,65","120,32","232,26","400,65","368,04","312,95"
13,14,"106,31","420,01","167,41","209,55","389,28","362,79","361,57"
14,15,"107,50","410,25","122,56","143,43","358,70","411,34","302,63"
15,16,"171,04","424,52","144,87","120,11","333,28","440,97","236,63"
16,17,"176,48","289,12","133,56","129,51","240,75","485,03","214,34"
17,18,"155,45","250,26","126,84","166,66","233,02","482,21","392,21"
18,19,"175,70","184,13","153,61","71,49","270,27","454,36","284,00"
19,20,"185,39","215,60","134,40","109,46","368,29","381,29","296,57"
20,21,"164,82","203,08","160,85","113,18","270,01","409,68","325,68"
21,22,-,"236,78","203,99","122,15","280,86","591,30","336,44"
22,23,-,"196,88","144,77","97,19","293,99","636,23","292,45"
23,24,-,"123,83","141,01","75,46","273,49","623,82","261,56"
24,25,-,"124,63","168,30","92,83","228,92","599,62","270,30"
25,26,-,"85,78","171,14","78,20","203,17","675,94","303,17"
26,27,-,"151,40","158,01","91,76","210,42","559,00","367,21"
27,28,-,"119,47","367,86","89,44","240,31","528,68","388,90"
28,29,-,"52,51","404,29","102,23","324,73","605,18","376,94"
29,30,-,"92,39","383,26","100,40","207,20","612,29","323,61"
30,31,-,"147,39","125,68","488,04","308,39","202,24","285,47"
